country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Madagascar,107.69648,98.624035,105.50987,99.954868,95.047146,86.467027,37.366637,32.750185,35.248202,39.204499,36.982292,34.969278,35.525803,42.47114,34.65122,35.685248,47.126667,46.01697,45.717796
Malawi,86.545363,no data,142.91936,119.31596,105.1224,99.874283,25.216694,26.67845,33.121122,33.069509,27.191849,28.136619,40.277562,50.590308,47.760359,54.435078,55.101326,57.074026,59.537624
Malaysia,32.363693,37.94826,39.524615,41.387608,41.956845,40.161793,38.749769,38.272059,37.996907,48.533227,48.865735,49.328117,50.923039,52.256858,51.93807,53.574485,51.890596,50.073791,51.215809
Maldives,39.01685,41.844653,44.279279,37.605798,34.674233,43.195941,36.779625,35.823786,38.95796,48.387114,52.747868,51.863707,57.12351,55.949152,55.064998,53.329462,59.374938,61.59088,68.032476
Mali,90.521885,77.497752,42.642965,44.149652,42.434421,46.626393,18.0658,18.534527,20.166308,21.915931,25.28873,23.964763,25.389867,26.381859,26.906553,30.661135,36.033686,35.9606,37.273669
Malta,52.082315,55.336441,55.598166,61.654634,64.969165,63.502359,59.007754,57.284787,57.519106,63.319002,63.18514,65.640021,64.859582,65.137481,60.289253,55.236708,52.915257,47.525782,43.16013
Mauritania,234.39407,231.72043,204.39614,177.94267,170.86509,154.84419,82.59086,73.425112,52.850792,62.383965,57.027752,50.854176,50.568404,51.25844,59.475616,75.179677,77.417132,75.894443,82.948758
Mexico,19.069494,18.479911,20.176972,21.192571,20.117455,19.568714,20.027312,20.474247,24.011392,27.45133,26.895416,27.656842,28.151823,30.761159,32.637716,35.011148,37.021205,35.265804,35.36016
Moldova,59.649609,50.673177,49.622623,44.055311,33.371168,27.709382,25.229278,19.32647,15.366593,20.161725,21.872753,19.465376,20.084057,19.677884,20.58009,22.990335,31.580362,28.879742,27.372662
Mongolia,67.814384,59.118202,61.534466,77.019356,64.419809,55.894397,41.870644,36.519698,38.559303,44.737058,26.423112,29.284594,45.693212,51.31855,56.821412,62.308826,78.80291,72.509978,59.062851
Montenegro,no data,no data,84.478073,42.287806,40.226784,35.16816,30.935659,25.517941,27.621668,36.180348,39.182909,42.984813,53.419842,57.487314,56.187213,62.296963,60.76963,61.126178,68.259898
Morocco,70.191983,65.403584,64.253077,61.609418,58.906322,59.269993,54.805626,50.935398,45.442766,46.126098,48.997736,52.546668,56.532281,61.727063,63.339205,63.687838,64.858202,65.108808,64.957212
Mozambique,118.17899,123.39519,75.787062,74.934443,59.705934,70.157949,46.610513,35.990137,36.283254,41.886809,43.325875,38.02583,40.097643,53.125061,67.204548,94.234912,129.93435,100.53131,99.836489
Myanmar,135.31051,211.25699,166.3642,133.42798,111.77447,105.57166,94.71729,75.470828,58.560534,52.953197,50.24265,47.701437,46.538102,43.431815,37.607617,37.103503,39.816917,35.169511,38.162278
Namibia,21.017982,24.584124,22.366204,27.377284,29.42664,27.142016,25.243489,19.364143,19.096995,15.850734,16.328159,27.449615,24.627843,24.971745,26.791245,40.950306,43.541958,41.636608,46.277593
Nepal,57.931163,57.906829,59.103266,60.425529,58.542388,51.480751,48.898389,43.213799,41.927355,38.529675,34.035917,31.659316,34.256058,32.171724,28.174933,25.581236,27.862572,26.086795,30.199288
New Zealand,30.01806,28.171803,26.402767,24.699684,22.5091,20.791749,18.396755,16.299076,18.981063,24.324092,29.687725,34.688457,35.723017,34.604194,34.244282,34.371207,33.526665,31.585377,29.842597
Nicaragua,95.219355,87.475546,110.38549,109.54021,84.047522,66.607603,51.15567,30.916019,25.999247,29.258146,30.34714,28.794343,27.85246,28.835446,28.689616,28.910783,30.915916,33.938327,37.206146
Niger,109.83367,99.510924,92.294985,77.49033,71.087389,64.133717,23.756478,23.760334,19.013562,21.561656,20.62915,20.119148,24.56606,26.019472,29.016311,39.871998,44.647014,54.365121,53.843341
Nigeria,55.979532,51.725859,38.704751,37.698361,31.038145,18.940167,9.4041212,8.1163309,7.2761081,8.6172317,9.449583,10.232862,10.419337,10.483402,10.578898,11.503215,14.172128,15.985781,24.080011
North Macedonia ,no data,no data,39.61396,35.726269,33.889725,35.92791,29.782241,22.889169,20.014531,23.105556,23.675054,27.36334,33.266548,33.790012,37.827603,37.858326,39.648165,39.334369,40.331107
Norway,18.968448,17.814993,18.643315,20.972572,17.989366,16.790654,12.153631,11.290573,13.423889,25.845992,25.207497,19.95973,20.824365,19.667885,15.45628,15.518829,16.642744,15.84178,14.836867
Oman,26.662395,27.420704,21.065782,19.384032,16.647303,9.5818143,8.6526708,6.8820432,4.7106062,6.6514267,5.8301517,5.1571428,4.8563219,5.029371,4.9252141,15.470481,32.712106,46.416048,53.367626
Pakistan,76.798083,81.227672,76.099451,70.492597,63.231442,58.914414,53.722731,52.442589,57.162732,58.473095,60.582118,58.902619,63.243343,63.862972,63.472044,63.323568,67.63324,67.046575,71.690274
